txt,vertices,boundBox,slopes,font,word_len,direction,center_point,Label,img_path,idx,type
*****,"[(3601, 933), (3574, 1149), (3552, 1147), (3579, 930)]","{'Width': 49, 'Height': 219, 'Left': 3552, 'Top': 930}","(8.0, -0.091, 8.037, -0.136)",22.14716267,218.1771157,vertical,"(3576.5, 1039.75)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1377,train
808.80808,"[(2516, 1198), (2623, 1199), (2623, 1215), (2516, 1214)]","{'Width': 107, 'Height': 17, 'Left': 2516, 'Top': 1198}","(-0.009, 1000.0, -0.009, 1000.0)",16.0,107.0046728,horizontal,"(2569.5, 1206.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1283,train
BRIV'S,"[(410, 476), (435, 476), (435, 483), (410, 483)]","{'Width': 25, 'Height': 7, 'Left': 410, 'Top': 476}","(-0.0, 1000.0, 0.0, 1000.0)",7.0,25.0,horizontal,"(422.5, 479.5)",0,./docs/crop_pics/google/Bookshelves_4.jpg_1_1.jpg,699,train
203,"[(3624, 309), (3650, 306), (3652, 324), (3627, 328)]","{'Width': 28, 'Height': 22, 'Left': 3624, 'Top': 306}","(0.115, -9.0, 0.16, -6.333)",18.67307717,25.74524123,horizontal,"(3638.25, 316.75)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1385,train
ttyl,"[(551, 246), (581, 323), (555, 333), (525, 256)]","{'Width': 56, 'Height': 87, 'Left': 525, 'Top': 246}","(-2.567, 0.385, -2.567, 0.385)",27.85677655,82.63776376,vertical,"(553.0, 289.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,811,train
WE,"[(1006, 386), (1007, 402), (997, 403), (996, 387)]","{'Width': 11, 'Height': 17, 'Left': 996, 'Top': 386}","(-16.0, 0.1, -16.0, 0.1)",10.04987562,16.03121954,vertical,"(1001.5, 394.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,361,train
Like,"[(352, 306), (352, 342), (335, 342), (335, 306)]","{'Width': 17, 'Height': 36, 'Left': 335, 'Top': 306}","(1000.0, 0.0, 1000.0, -0.0)",17.0,36.0,vertical,"(343.5, 324.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,630,train
Sanury,"[(771, 441), (776, 474), (763, 475), (758, 443)]","{'Width': 18, 'Height': 34, 'Left': 758, 'Top': 441}","(-6.6, 0.077, -6.4, 0.154)",13.09567562,32.88245401,vertical,"(767.0, 458.25)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,496,train
808.3,"[(1446, 1195), (1491, 1195), (1491, 1212), (1446, 1212)]","{'Width': 45, 'Height': 17, 'Left': 1446, 'Top': 1195}","(-0.0, 1000.0, 0.0, 1000.0)",17.0,45.0,horizontal,"(1468.5, 1203.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1150,train
DUNBAR,"[(191, 146), (193, 188), (182, 189), (180, 147)]","{'Width': 13, 'Height': 43, 'Left': 180, 'Top': 146}","(-21.0, 0.091, -21.0, 0.091)",11.04536102,42.04759208,vertical,"(186.5, 167.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,424,train
POT,"[(574, 509), (576, 547), (564, 548), (562, 510)]","{'Width': 14, 'Height': 39, 'Left': 562, 'Top': 509}","(-19.0, 0.083, -19.0, 0.083)",12.04159458,38.05259518,vertical,"(569.0, 528.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,305,train
JOHN,"[(822, 410), (832, 455), (804, 461), (794, 416)]","{'Width': 38, 'Height': 51, 'Left': 794, 'Top': 410}","(-4.5, 0.214, -4.5, 0.214)",28.63564213,46.09772229,vertical,"(813.0, 435.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,197,train
guided,"[(3550, 535), (3572, 535), (3572, 552), (3550, 552)]","{'Width': 22, 'Height': 17, 'Left': 3550, 'Top': 535}","(-0.0, 1000.0, 0.0, 1000.0)",17.0,22.0,horizontal,"(3561.0, 543.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1376,train
OF,"[(677, 536), (677, 562), (666, 562), (666, 536)]","{'Width': 11, 'Height': 26, 'Left': 666, 'Top': 536}","(1000.0, 0.0, 1000.0, -0.0)",11.0,26.0,vertical,"(671.5, 549.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1053,train
Teenage,"[(1284, 371), (1294, 458), (1270, 461), (1260, 374)]","{'Width': 34, 'Height': 90, 'Left': 1260, 'Top': 371}","(-8.7, 0.125, -8.7, 0.125)",24.18677324,87.57282684,vertical,"(1277.0, 416.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,110,train
WADE,"[(1351, 302), (1354, 336), (1327, 339), (1323, 305)]","{'Width': 31, 'Height': 37, 'Left': 1323, 'Top': 302}","(-11.333, 0.111, -8.5, 0.107)",27.66320555,34.18329093,vertical,"(1338.75, 320.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,124,train
GUYSIREADOBU,"[(356, 156), (446, 339), (425, 349), (335, 166)]","{'Width': 111, 'Height': 193, 'Left': 335, 'Top': 156}","(-2.033, 0.476, -2.033, 0.476)",23.2594067,203.9338128,vertical,"(390.5, 252.5)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,799,train
BATS,"[(771, 766), (771, 855), (740, 855), (740, 766)]","{'Width': 31, 'Height': 89, 'Left': 740, 'Top': 766}","(1000.0, 0.0, 1000.0, -0.0)",31.0,89.0,vertical,"(755.5, 810.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1070,train
WIND,"[(315, 343), (315, 381), (303, 381), (303, 343)]","{'Width': 12, 'Height': 38, 'Left': 303, 'Top': 343}","(1000.0, 0.0, 1000.0, -0.0)",12.0,38.0,vertical,"(309.0, 362.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_3_0.jpg,842,train
VID,"[(1239, 423), (1242, 452), (1232, 453), (1229, 424)]","{'Width': 13, 'Height': 30, 'Left': 1229, 'Top': 423}","(-9.667, 0.1, -9.667, 0.1)",10.04987562,29.15475947,vertical,"(1235.5, 438.0)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,100,train
NO,"[(1224, 857), (1224, 896), (1201, 896), (1201, 857)]","{'Width': 23, 'Height': 39, 'Left': 1201, 'Top': 857}","(1000.0, 0.0, 1000.0, -0.0)",23.0,39.0,vertical,"(1212.5, 876.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,98,train
Scies,"[(666, 385), (669, 426), (651, 427), (648, 386)]","{'Width': 21, 'Height': 42, 'Left': 648, 'Top': 385}","(-13.667, 0.056, -13.667, 0.056)",18.02775638,41.10960958,vertical,"(658.5, 406.0)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,317,train
E,"[(736, 922), (744, 954), (715, 961), (707, 929)]","{'Width': 37, 'Height': 39, 'Left': 707, 'Top': 922}","(-4.0, 0.241, -4.0, 0.241)",29.83286778,32.984845,vertical,"(725.5, 941.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,196,train
Sanury,"[(771, 441), (776, 474), (763, 475), (758, 443)]","{'Width': 18, 'Height': 34, 'Left': 758, 'Top': 441}","(-6.6, 0.077, -6.4, 0.154)",13.09567562,32.88245401,vertical,"(767.0, 458.25)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,496,train
??,"[(698, 929), (740, 924), (743, 956), (702, 961)]","{'Width': 45, 'Height': 37, 'Left': 698, 'Top': 924}","(0.119, -10.667, 0.122, -8.0)",32.19467418,41.80016241,horizontal,"(720.75, 942.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,195,train
LITTLE,"[(1056, 613), (1086, 613), (1086, 622), (1056, 622)]","{'Width': 30, 'Height': 9, 'Left': 1056, 'Top': 613}","(-0.0, 1000.0, 0.0, 1000.0)",9.0,30.0,horizontal,"(1071.0, 617.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,538,train
WINS,"[(434, 221), (461, 275), (440, 285), (413, 231)]","{'Width': 48, 'Height': 64, 'Left': 413, 'Top': 221}","(-2.0, 0.476, -2.0, 0.476)",23.2594067,60.37383539,vertical,"(437.0, 253.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_2_0.jpg,733,train
OS,"[(640, 1205), (661, 1206), (661, 1218), (640, 1217)]","{'Width': 21, 'Height': 13, 'Left': 640, 'Top': 1205}","(-0.048, 1000.0, -0.048, 1000.0)",12.0,21.02379604,horizontal,"(650.5, 1211.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1048,train
you,"[(3412, 532), (3427, 532), (3427, 550), (3412, 550)]","{'Width': 15, 'Height': 18, 'Left': 3412, 'Top': 532}","(-0.0, 1000.0, 0.0, 1000.0)",18.0,15.0,horizontal,"(3419.5, 541.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1354,train
12,"[(434, 583), (435, 609), (412, 610), (411, 584)]","{'Width': 24, 'Height': 27, 'Left': 411, 'Top': 583}","(-26.0, 0.043, -26.0, 0.043)",23.02172887,26.01922366,vertical,"(423.0, 596.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,461,train
MET,"[(1035, 858), (1034, 901), (1010, 900), (1011, 857)]","{'Width': 25, 'Height': 44, 'Left': 1010, 'Top': 857}","(43.0, -0.042, 43.0, -0.042)",24.0208243,43.01162634,vertical,"(1022.5, 879.0)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,220,train
CAFTRAGEOUS,"[(898, 450), (901, 515), (890, 515), (887, 450)]","{'Width': 14, 'Height': 65, 'Left': 887, 'Top': 450}","(-21.667, 0.0, -21.667, -0.0)",11.0,65.06919394,vertical,"(894.0, 482.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,71,train
808.808.808.5,"[(1918, 1181), (2094, 1184), (2094, 1207), (1918, 1204)]","{'Width': 176, 'Height': 26, 'Left': 1918, 'Top': 1181}","(-0.017, 1000.0, -0.017, 1000.0)",23.0,176.0255663,horizontal,"(2006.0, 1194.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1212,train
],"[(1251, 841), (1249, 878), (1191, 875), (1193, 838)]","{'Width': 60, 'Height': 40, 'Left': 1191, 'Top': 838}","(18.5, -0.052, 18.5, -0.052)",58.07753438,37.05401463,vertical,"(1221.0, 858.0)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,241,train
PLAYBOOK,"[(679, 516), (593, 514), (594, 483), (680, 485)]","{'Width': 87, 'Height': 33, 'Left': 593, 'Top': 483}","(-0.023, 31.0, -0.023, 31.0)",31.01612484,86.02325267,horizontal,"(636.5, 499.5)",0,./docs/crop_pics/google/Bookshelves_4.jpg_3_0.jpg,890,train
Write,"[(1271, 1067), (1271, 1113), (1260, 1113), (1260, 1067)]","{'Width': 11, 'Height': 46, 'Left': 1260, 'Top': 1067}","(1000.0, 0.0, 1000.0, -0.0)",11.0,46.0,vertical,"(1265.5, 1090.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1123,train
C,"[(186, 408), (188, 439), (159, 441), (157, 410)]","{'Width': 31, 'Height': 33, 'Left': 157, 'Top': 408}","(-15.5, 0.069, -15.5, 0.069)",29.06888371,31.06444913,vertical,"(172.5, 424.5)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_0.jpg,722,train
My,"[(17, 309), (19, 329), (6, 330), (4, 310)]","{'Width': 15, 'Height': 21, 'Left': 4, 'Top': 309}","(-10.0, 0.077, -10.0, 0.077)",13.03840481,20.09975124,vertical,"(11.5, 319.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,403,train
me,"[(1285, 872), (1286, 948), (1252, 948), (1251, 872)]","{'Width': 35, 'Height': 76, 'Left': 1251, 'Top': 872}","(-76.0, 0.0, -76.0, -0.0)",34.0,76.00657866,vertical,"(1268.5, 910.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1119,train
?,"[(1285, 943), (1285, 968), (1251, 968), (1251, 943)]","{'Width': 34, 'Height': 25, 'Left': 1251, 'Top': 943}","(1000.0, 0.0, 1000.0, -0.0)",34.0,25.0,vertical,"(1268.0, 955.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1120,train
CAPOT,"[(356, 997), (184, 1002), (183, 958), (355, 953)]","{'Width': 173, 'Height': 49, 'Left': 183, 'Top': 953}","(0.029, -44.0, 0.029, -44.0)",44.01136217,172.0726591,horizontal,"(269.5, 977.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,171,train
d¨¢vid,"[(576, 45), (576, 83), (564, 83), (564, 45)]","{'Width': 12, 'Height': 38, 'Left': 564, 'Top': 45}","(1000.0, 0.0, 1000.0, -0.0)",12.0,38.0,vertical,"(570.0, 64.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_3_0.jpg,886,train
THER,"[(230, 0), (232, 56), (193, 57), (191, 0)]","{'Width': 41, 'Height': 57, 'Left': 191, 'Top': 0}","(-28.0, 0.026, -28.5, -0.0)",39.0064092,56.53538992,vertical,"(211.5, 28.25)",1,./docs/crop_pics/google/Bookshelves_4.jpg_0_0.jpg,551,train
SCIENCE,"[(1011, 398), (1005, 609), (967, 608), (973, 397)]","{'Width': 44, 'Height': 212, 'Left': 967, 'Top': 397}","(35.167, -0.026, 35.167, -0.026)",38.01315562,211.0852908,vertical,"(989.0, 503.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,217,train
THE,"[(3820, 312), (3809, 397), (3782, 394), (3793, 309)]","{'Width': 38, 'Height': 88, 'Left': 3782, 'Top': 309}","(7.727, -0.111, 7.727, -0.111)",27.16615541,85.70880935,vertical,"(3801.0, 353.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1407,train
Got,"[(791, 458), (791, 537), (757, 537), (757, 458)]","{'Width': 34, 'Height': 79, 'Left': 757, 'Top': 458}","(1000.0, 0.0, 1000.0, -0.0)",34.0,79.0,vertical,"(774.0, 497.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,58,train
POE,"[(3334, 1248), (3370, 1252), (3368, 1266), (3333, 1262)]","{'Width': 37, 'Height': 18, 'Left': 3333, 'Top': 1248}","(-0.111, 7.0, -0.114, 14.0)",14.08890224,35.72468523,horizontal,"(3351.25, 1257.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1346,train
GUYSIREADOBU,"[(356, 156), (446, 339), (425, 349), (335, 166)]","{'Width': 111, 'Height': 193, 'Left': 335, 'Top': 156}","(-2.033, 0.476, -2.033, 0.476)",23.2594067,203.9338128,vertical,"(390.5, 252.5)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,799,train
BERGEN,"[(111, 296), (116, 361), (103, 362), (98, 297)]","{'Width': 18, 'Height': 66, 'Left': 98, 'Top': 296}","(-13.0, 0.077, -13.0, 0.077)",13.03840481,65.19202405,vertical,"(107.0, 329.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,163,train
talkin,"[(1282, 651), (1283, 784), (1249, 784), (1248, 651)]","{'Width': 35, 'Height': 133, 'Left': 1248, 'Top': 651}","(-133.0, 0.0, -133.0, -0.0)",34.0,133.0037593,vertical,"(1265.5, 717.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1116,train
POETX,"[(369, 297), (370, 427), (335, 427), (334, 297)]","{'Width': 36, 'Height': 130, 'Left': 334, 'Top': 297}","(-130.0, 0.0, -130.0, -0.0)",35.0,130.0038461,vertical,"(352.0, 362.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_1.jpg,692,train
45,"[(1567, 361), (1567, 446), (1516, 446), (1516, 361)]","{'Width': 51, 'Height': 85, 'Left': 1516, 'Top': 361}","(1000.0, 0.0, 1000.0, -0.0)",51.0,85.0,vertical,"(1541.5, 403.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1167,train
ECROSSOVER,"[(269, 223), (269, 342), (243, 342), (243, 223)]","{'Width': 26, 'Height': 119, 'Left': 243, 'Top': 223}","(1000.0, 0.0, 1000.0, -0.0)",26.0,119.0,vertical,"(256.0, 282.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_1.jpg,688,train
med,"[(101, 75), (102, 99), (89, 99), (88, 75)]","{'Width': 14, 'Height': 24, 'Left': 88, 'Top': 75}","(-24.0, 0.0, -24.0, -0.0)",13.0,24.0208243,vertical,"(95.0, 87.0)",0,./docs/crop_pics/google/Bookshelves_4.jpg_0_0.jpg,544,train
ME,"[(363, 276), (352, 289), (343, 281), (354, 268)]","{'Width': 20, 'Height': 21, 'Left': 343, 'Top': 268}","(1.182, -0.889, 1.182, -0.889)",12.04159458,17.02938637,vertical,"(353.0, 278.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_3_1.jpg,944,train
WE,"[(1006, 386), (1007, 402), (997, 403), (996, 387)]","{'Width': 11, 'Height': 17, 'Left': 996, 'Top': 386}","(-16.0, 0.1, -16.0, 0.1)",10.04987562,16.03121954,vertical,"(1001.5, 394.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,361,train
MISSPELLS,"[(861, 302), (870, 365), (856, 367), (847, 304)]","{'Width': 23, 'Height': 65, 'Left': 847, 'Top': 302}","(-7.0, 0.143, -7.0, 0.143)",14.14213562,63.63961031,vertical,"(858.5, 334.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,502,train
.,"[(26, 431), (26, 437), (14, 438), (14, 432)]","{'Width': 12, 'Height': 7, 'Left': 14, 'Top': 431}","(1000.0, 0.083, 1000.0, 0.083)",12.04159458,6.0,vertical,"(20.0, 434.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,407,train
GATHER,"[(2241, 477), (2236, 648), (2206, 647), (2211, 476)]","{'Width': 35, 'Height': 172, 'Left': 2206, 'Top': 476}","(34.2, -0.033, 34.2, -0.033)",30.01666204,171.0730838,vertical,"(2223.5, 562.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1258,train
Every,"[(549, 120), (538, 179), (513, 174), (523, 115)]","{'Width': 36, 'Height': 64, 'Left': 513, 'Top': 115}","(5.364, -0.2, 5.9, -0.192)",25.98575108,59.92906078,vertical,"(530.75, 147.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_0_0.jpg,562,train
MORE,"[(147, 209), (158, 230), (149, 235), (137, 214)]","{'Width': 21, 'Height': 26, 'Left': 137, 'Top': 209}","(-1.909, 0.556, -1.75, 0.5)",10.73798501,23.94665621,vertical,"(147.75, 222.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,779,train
Finkatztein,"[(751, 523), (756, 585), (743, 586), (738, 524)]","{'Width': 18, 'Height': 63, 'Left': 738, 'Top': 523}","(-12.4, 0.077, -12.4, 0.077)",13.03840481,62.20128616,vertical,"(747.0, 554.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,332,train
AND,"[(1245, 503), (1244, 526), (1232, 525), (1233, 502)]","{'Width': 13, 'Height': 24, 'Left': 1232, 'Top': 502}","(23.0, -0.083, 23.0, -0.083)",12.04159458,23.02172887,vertical,"(1238.5, 514.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,246,train
RISING,"[(2025, 659), (2023, 831), (1995, 831), (1997, 659)]","{'Width': 30, 'Height': 172, 'Left': 1995, 'Top': 659}","(86.0, 0.0, 86.0, -0.0)",28.0,172.0116275,vertical,"(2010.0, 745.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1220,train
will,"[(503, 154), (502, 199), (468, 198), (469, 153)]","{'Width': 35, 'Height': 46, 'Left': 468, 'Top': 153}","(45.0, -0.029, 45.0, -0.029)",34.0147027,45.01110974,vertical,"(485.5, 176.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_3_0.jpg,873,train
PENG,"[(2621, 1140), (2618, 1183), (2608, 1182), (2611, 1139)]","{'Width': 13, 'Height': 44, 'Left': 2608, 'Top': 1139}","(14.333, -0.1, 14.333, -0.1)",10.04987562,43.10452412,vertical,"(2614.5, 1161.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1292,train
B,"[(1134, 926), (1161, 927), (1161, 947), (1134, 946)]","{'Width': 27, 'Height': 21, 'Left': 1134, 'Top': 926}","(-0.037, 1000.0, -0.037, 1000.0)",20.0,27.01851217,horizontal,"(1147.5, 936.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,93,train
GHOST,"[(616, 171), (629, 251), (599, 256), (585, 176)]","{'Width': 44, 'Height': 85, 'Left': 585, 'Top': 171}","(-6.154, 0.167, -5.714, 0.161)",30.90722479,81.13256484,vertical,"(607.25, 213.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,479,train
AHMED,"[(626, 45), (625, 98), (611, 98), (612, 45)]","{'Width': 15, 'Height': 53, 'Left': 611, 'Top': 45}","(53.0, 0.0, 53.0, -0.0)",14.0,53.00943312,vertical,"(618.5, 71.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_0_1.jpg,611,train
Black,"[(352, 212), (352, 257), (335, 257), (335, 212)]","{'Width': 17, 'Height': 45, 'Left': 335, 'Top': 212}","(1000.0, 0.0, 1000.0, -0.0)",17.0,45.0,vertical,"(343.5, 234.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,628,train
CHRIS,"[(533, 380), (580, 364), (584, 376), (537, 391)]","{'Width': 51, 'Height': 27, 'Left': 533, 'Top': 364}","(0.34, -3.0, 0.319, -2.75)",12.17690528,49.49217594,horizontal,"(558.5, 377.75)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,189,train
WORD,"[(446, 181), (459, 207), (444, 215), (431, 189)]","{'Width': 28, 'Height': 34, 'Left': 431, 'Top': 181}","(-2.0, 0.533, -2.0, 0.533)",17.0,29.06888371,vertical,"(445.0, 198.0)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_0.jpg,736,train
IN,"[(2444, 822), (2443, 837), (2430, 837), (2431, 822)]","{'Width': 14, 'Height': 15, 'Left': 2430, 'Top': 822}","(15.0, 0.0, 15.0, -0.0)",13.0,15.03329638,vertical,"(2437.0, 829.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1270,train
DERED,"[(200, 177), (204, 328), (167, 329), (163, 178)]","{'Width': 41, 'Height': 152, 'Left': 163, 'Top': 177}","(-37.75, 0.027, -37.75, 0.027)",37.01351105,151.0529708,vertical,"(183.5, 253.0)",0,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,616,train
Parkdale,"[(1181, 374), (1226, 379), (1223, 397), (1179, 392)]","{'Width': 47, 'Height': 23, 'Left': 1179, 'Top': 374}","(-0.111, 6.0, -0.114, 9.0)",18.17952893,44.78005267,horizontal,"(1202.25, 385.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1104,train
THEY,"[(190, 326), (209, 361), (200, 366), (181, 331)]","{'Width': 28, 'Height': 40, 'Left': 181, 'Top': 326}","(-1.842, 0.556, -1.842, 0.556)",10.29563014,39.8246155,vertical,"(195.0, 346.0)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,786,train
THE,"[(449, 259), (449, 306), (428, 306), (428, 259)]","{'Width': 21, 'Height': 47, 'Left': 428, 'Top': 259}","(1000.0, 0.0, 1000.0, -0.0)",21.0,47.0,vertical,"(438.5, 282.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_1.jpg,702,train
WILLIS,"[(76, 443), (80, 483), (52, 486), (48, 446)]","{'Width': 32, 'Height': 43, 'Left': 48, 'Top': 443}","(-10.0, 0.107, -10.0, 0.107)",28.16025568,40.19950248,vertical,"(64.0, 464.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,156,train
WENDY,"[(590, 832), (593, 898), (581, 899), (578, 833)]","{'Width': 15, 'Height': 67, 'Left': 578, 'Top': 832}","(-22.0, 0.083, -22.0, 0.083)",12.04159458,66.06814664,vertical,"(585.5, 865.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,193,train
HAN,"[(1369, 1206), (1406, 1205), (1406, 1219), (1369, 1220)]","{'Width': 37, 'Height': 15, 'Left': 1369, 'Top': 1205}","(0.027, 1000.0, 0.027, 1000.0)",14.0,37.01351105,horizontal,"(1387.5, 1212.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1134,train
ARM,"[(2942, 1224), (2980, 1228), (2979, 1239), (2941, 1235)]","{'Width': 39, 'Height': 15, 'Left': 2941, 'Top': 1224}","(-0.105, 11.0, -0.105, 11.0)",11.04536102,38.20994635,horizontal,"(2960.5, 1231.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1325,train
SURVIVING,"[(771, 178), (779, 255), (757, 257), (749, 180)]","{'Width': 30, 'Height': 79, 'Left': 749, 'Top': 178}","(-9.625, 0.091, -9.625, 0.091)",22.09072203,77.41446893,vertical,"(764.0, 217.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,334,train
WEISSMANN,"[(312, 457), (324, 572), (310, 574), (298, 458)]","{'Width': 26, 'Height': 117, 'Left': 298, 'Top': 457}","(-9.583, 0.143, -9.667, 0.071)",14.08890224,116.1217149,vertical,"(311.0, 515.25)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,181,train
COME,"[(76, 235), (80, 348), (46, 349), (42, 236)]","{'Width': 38, 'Height': 114, 'Left': 42, 'Top': 235}","(-28.25, 0.029, -28.25, 0.029)",34.0147027,113.0707743,vertical,"(61.0, 292.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_0_1.jpg,574,train
1,"[(1216, 239), (1230, 239), (1230, 259), (1216, 259)]","{'Width': 14, 'Height': 20, 'Left': 1216, 'Top': 239}","(-0.0, 1000.0, 0.0, 1000.0)",20.0,14.0,horizontal,"(1223.0, 249.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,544,train
Mealer,"[(318, 124), (318, 158), (308, 158), (308, 124)]","{'Width': 10, 'Height': 34, 'Left': 308, 'Top': 124}","(1000.0, 0.0, 1000.0, -0.0)",10.0,34.0,vertical,"(313.0, 141.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_3_0.jpg,844,train
SARAb,"[(0, 799), (88, 803), (87, 837), (0, 833)]","{'Width': 88, 'Height': 38, 'Left': 0, 'Top': 799}","(-0.045, 34.0, -0.046, 1000.0)",34.00735135,87.59138383,horizontal,"(43.75, 818.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,140,train
The,"[(717, 186), (718, 227), (691, 228), (690, 187)]","{'Width': 28, 'Height': 42, 'Left': 690, 'Top': 186}","(-41.0, 0.037, -41.0, 0.037)",27.01851217,41.01219331,vertical,"(704.0, 207.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,662,train
DE,"[(680, 464), (681, 503), (664, 503), (663, 464)]","{'Width': 18, 'Height': 39, 'Left': 663, 'Top': 464}","(-39.0, 0.0, -39.0, -0.0)",17.0,39.01281841,vertical,"(672.0, 483.5)",0,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,661,train
