txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top,Label,image_path
FORGET,100,"[(736, 367), (740, 416), (728, 417), (724, 368)]","{'Width': 16, 'Height': 50, 'Left': 724, 'Top': 367}","(-12.25, 0.083, -12.25, 0.083)",12.04159458,49.16299421,vertical,"(732.0, 392.0)","(1, 0)",724,367,1,cropped_images_1\cropped_331.jpg
Finkatztein,100,"[(751, 523), (756, 585), (743, 586), (738, 524)]","{'Width': 18, 'Height': 63, 'Left': 738, 'Top': 523}","(-12.4, 0.077, -12.4, 0.077)",13.03840481,62.20128616,vertical,"(747.0, 554.5)","(1, 0)",738,523,0,cropped_images_1\cropped_332.jpg
RREN,100,"[(761, 106), (766, 145), (749, 147), (744, 108)]","{'Width': 22, 'Height': 41, 'Left': 744, 'Top': 106}","(-7.8, 0.118, -7.8, 0.118)",17.11724277,39.3192065,vertical,"(755.0, 126.5)","(1, 0)",744,106,0,cropped_images_1\cropped_333.jpg
SURVIVING,100,"[(771, 178), (779, 255), (757, 257), (749, 180)]","{'Width': 30, 'Height': 79, 'Left': 749, 'Top': 178}","(-9.625, 0.091, -9.625, 0.091)",22.09072203,77.41446893,vertical,"(764.0, 217.5)","(1, 0)",749,178,1,cropped_images_1\cropped_334.jpg
HITLER,100,"[(780, 261), (785, 307), (763, 309), (758, 263)]","{'Width': 27, 'Height': 48, 'Left': 758, 'Top': 261}","(-9.2, 0.091, -9.2, 0.091)",22.09072203,46.27094121,vertical,"(771.5, 285.0)","(1, 0)",758,261,1,cropped_images_1\cropped_335.jpg
:,100,"[(784, 307), (785, 314), (764, 316), (763, 309)]","{'Width': 22, 'Height': 9, 'Left': 763, 'Top': 307}","(-7.0, 0.095, -7.0, 0.095)",21.09502311,7.071067812,vertical,"(774.0, 311.5)","(1, 0)",763,307,1,cropped_images_1\cropped_336.jpg
A,100,"[(785, 317), (786, 329), (765, 331), (764, 319)]","{'Width': 22, 'Height': 14, 'Left': 764, 'Top': 317}","(-12.0, 0.095, -12.0, 0.095)",21.09502311,12.04159458,vertical,"(775.0, 324.0)","(1, 0)",764,317,1,cropped_images_1\cropped_337.jpg
Boy,100,"[(787, 332), (790, 358), (769, 360), (766, 334)]","{'Width': 24, 'Height': 28, 'Left': 766, 'Top': 332}","(-8.667, 0.095, -8.667, 0.095)",21.09502311,26.17250466,vertical,"(778.0, 346.0)","(1, 0)",766,332,1,cropped_images_1\cropped_338.jpg
in,100,"[(790, 360), (792, 375), (771, 377), (769, 362)]","{'Width': 23, 'Height': 17, 'Left': 769, 'Top': 360}","(-7.5, 0.095, -7.5, 0.095)",21.09502311,15.13274595,vertical,"(780.5, 368.5)","(1, 0)",769,360,1,cropped_images_1\cropped_339.jpg
the,100,"[(792, 378), (794, 401), (773, 403), (770, 380)]","{'Width': 24, 'Height': 25, 'Left': 770, 'Top': 378}","(-11.5, 0.095, -7.667, 0.091)",21.59287257,23.14080989,vertical,"(782.25, 390.5)","(1, 0)",770,378,1,cropped_images_1\cropped_340.jpg
Nazi,100,"[(795, 405), (798, 436), (776, 438), (773, 407)]","{'Width': 25, 'Height': 33, 'Left': 773, 'Top': 405}","(-10.333, 0.091, -10.333, 0.091)",22.09072203,31.144823,vertical,"(785.5, 421.5)","(1, 0)",773,405,1,cropped_images_1\cropped_341.jpg
Death,100,"[(799, 441), (803, 481), (781, 483), (777, 443)]","{'Width': 26, 'Height': 42, 'Left': 777, 'Top': 441}","(-10.0, 0.091, -10.0, 0.091)",22.09072203,40.19950248,vertical,"(790.0, 462.0)","(1, 0)",777,441,1,cropped_images_1\cropped_342.jpg
Comps,100,"[(803, 486), (808, 529), (787, 531), (782, 488)]","{'Width': 26, 'Height': 45, 'Left': 782, 'Top': 486}","(-8.6, 0.095, -8.6, 0.095)",21.09502311,43.28972164,vertical,"(795.0, 508.5)","(1, 0)",782,486,1,cropped_images_1\cropped_343.jpg
BREITMAN,100,"[(809, 56), (819, 157), (802, 158), (792, 58)]","{'Width': 27, 'Height': 102, 'Left': 792, 'Top': 56}","(-10.1, 0.059, -10.0, 0.118)",17.07331457,100.9962992,vertical,"(805.5, 107.25)","(1, 0)",792,56,1,cropped_images_1\cropped_344.jpg
Official,100,"[(840, 187), (856, 359), (830, 362), (814, 189)]","{'Width': 42, 'Height': 175, 'Left': 814, 'Top': 187}","(-10.75, 0.115, -10.812, 0.077)",26.12465714,173.240446,vertical,"(835.0, 274.25)","(1, 0)",814,187,1,cropped_images_1\cropped_345.jpg
RICHARD,100,"[(834, 60), (843, 150), (825, 151), (816, 62)]","{'Width': 27, 'Height': 91, 'Left': 816, 'Top': 60}","(-10.0, 0.056, -9.889, 0.111)",18.06926333,89.95138967,vertical,"(829.5, 105.75)","(1, 0)",816,60,1,cropped_images_1\cropped_346.jpg
Secrets,100,"[(858, 387), (874, 565), (848, 568), (832, 389)]","{'Width': 42, 'Height': 181, 'Left': 832, 'Top': 387}","(-11.125, 0.115, -11.188, 0.077)",26.12465714,179.2156578,vertical,"(853.0, 477.25)","(1, 0)",832,387,1,cropped_images_1\cropped_347.jpg
JONATHAN,100,"[(904, 86), (909, 133), (899, 134), (894, 87)]","{'Width': 15, 'Height': 48, 'Left': 894, 'Top': 86}","(-9.4, 0.1, -9.4, 0.1)",10.04987562,47.26520919,vertical,"(901.5, 110.0)","(1, 0)",894,86,0,cropped_images_1\cropped_348.jpg
MARKLA,100,"[(909, 137), (913, 172), (904, 173), (900, 138)]","{'Width': 13, 'Height': 36, 'Left': 900, 'Top': 137}","(-8.75, 0.111, -8.75, 0.111)",9.055385138,35.22782991,vertical,"(906.5, 155.0)","(1, 0)",900,137,0,cropped_images_1\cropped_349.jpg
ARMS,100,"[(933, 358), (938, 406), (915, 408), (910, 360)]","{'Width': 28, 'Height': 50, 'Left': 910, 'Top': 358}","(-9.6, 0.087, -9.6, 0.087)",23.08679276,48.25971405,vertical,"(924.0, 383.0)","(1, 0)",910,358,1,cropped_images_1\cropped_350.jpg
OF,100,"[(938, 411), (941, 439), (918, 441), (915, 413)]","{'Width': 26, 'Height': 30, 'Left': 915, 'Top': 411}","(-9.333, 0.087, -9.333, 0.087)",23.08679276,28.16025568,vertical,"(928.0, 426.0)","(1, 0)",915,411,1,cropped_images_1\cropped_351.jpg
STRANGERS,100,"[(941, 442), (950, 533), (927, 535), (918, 444)]","{'Width': 32, 'Height': 93, 'Left': 918, 'Top': 442}","(-10.111, 0.087, -10.111, 0.087)",23.08679276,91.44397192,vertical,"(934.0, 488.5)","(1, 0)",918,442,1,cropped_images_1\cropped_352.jpg
NOUTH,100,"[(950, 424), (954, 460), (943, 461), (939, 425)]","{'Width': 15, 'Height': 37, 'Left': 939, 'Top': 424}","(-9.0, 0.091, -9.0, 0.091)",11.04536102,36.22154055,vertical,"(946.5, 442.5)","(1, 0)",939,424,0,cropped_images_1\cropped_353.jpg
DANIEL,100,"[(971, 210), (978, 281), (964, 282), (957, 211)]","{'Width': 21, 'Height': 72, 'Left': 957, 'Top': 210}","(-10.143, 0.071, -10.143, 0.071)",14.03566885,71.34423593,vertical,"(967.5, 246.0)","(1, 0)",957,210,1,cropped_images_1\cropped_354.jpg
JONAH,100,"[(978, 289), (984, 356), (970, 357), (964, 290)]","{'Width': 20, 'Height': 68, 'Left': 964, 'Top': 289}","(-11.167, 0.071, -11.167, 0.071)",14.03566885,67.26812024,vertical,"(974.0, 323.0)","(1, 0)",964,289,1,cropped_images_1\cropped_355.jpg
GOLDHAGEN,100,"[(985, 366), (996, 486), (983, 488), (972, 367)]","{'Width': 24, 'Height': 122, 'Left': 972, 'Top': 366}","(-10.909, 0.154, -11.0, 0.077)",13.09567562,121.0010416,vertical,"(984.0, 426.75)","(1, 0)",972,366,1,cropped_images_1\cropped_356.jpg
ORDINARY,100,"[(989, 205), (995, 274), (985, 275), (979, 206)]","{'Width': 16, 'Height': 70, 'Left': 979, 'Top': 205}","(-11.5, 0.1, -11.5, 0.1)",10.04987562,69.26037828,vertical,"(987.0, 240.0)","(1, 0)",979,205,1,cropped_images_1\cropped_357.jpg
GERMANS,100,"[(995, 278), (1001, 343), (992, 344), (986, 279)]","{'Width': 15, 'Height': 66, 'Left': 986, 'Top': 278}","(-10.833, 0.111, -10.833, 0.111)",9.055385138,65.27633568,vertical,"(993.5, 311.0)","(1, 0)",986,278,1,cropped_images_1\cropped_358.jpg
AND,100,"[(1002, 348), (1004, 374), (994, 375), (992, 349)]","{'Width': 12, 'Height': 27, 'Left': 992, 'Top': 348}","(-13.0, 0.1, -13.0, 0.1)",10.04987562,26.07680962,vertical,"(998.0, 361.5)","(1, 0)",992,348,1,cropped_images_1\cropped_359.jpg
THE,100,"[(1005, 378), (1007, 403), (997, 404), (995, 379)]","{'Width': 12, 'Height': 26, 'Left': 995, 'Top': 378}","(-12.5, 0.1, -12.5, 0.1)",10.04987562,25.07987241,vertical,"(1001.0, 391.0)","(1, 0)",995,378,1,cropped_images_1\cropped_360.jpg
WE,100,"[(1006, 386), (1007, 402), (997, 403), (996, 387)]","{'Width': 11, 'Height': 17, 'Left': 996, 'Top': 386}","(-16.0, 0.1, -16.0, 0.1)",10.04987562,16.03121954,vertical,"(1001.5, 394.5)","(1, 0)",996,386,0,cropped_images_1\cropped_361.jpg
HITLER'S,100,"[(1011, 153), (1020, 253), (1006, 254), (997, 154)]","{'Width': 23, 'Height': 101, 'Left': 997, 'Top': 153}","(-11.111, 0.071, -11.111, 0.071)",14.03566885,100.4041832,vertical,"(1008.5, 203.5)","(1, 0)",997,153,1,cropped_images_1\cropped_362.jpg
HOLOCAUST,100,"[(1008, 407), (1015, 489), (1005, 490), (998, 408)]","{'Width': 17, 'Height': 83, 'Left': 998, 'Top': 407}","(-11.714, 0.1, -11.714, 0.1)",10.04987562,82.29823813,vertical,"(1006.5, 448.5)","(1, 0)",998,407,1,cropped_images_1\cropped_363.jpg
WILLING,100,"[(1021, 262), (1029, 354), (1015, 355), (1007, 263)]","{'Width': 22, 'Height': 93, 'Left': 1007, 'Top': 262}","(-11.5, 0.071, -11.5, 0.071)",14.03566885,92.34717104,vertical,"(1018.0, 308.5)","(1, 0)",1007,262,1,cropped_images_1\cropped_364.jpg
EXECUTIONERS,100,"[(1030, 363), (1046, 535), (1032, 537), (1016, 364)]","{'Width': 30, 'Height': 174, 'Left': 1016, 'Top': 363}","(-10.75, 0.143, -10.812, 0.071)",14.08890224,173.240446,vertical,"(1031.0, 449.75)","(1, 0)",1016,363,1,cropped_images_1\cropped_365.jpg
14,100,"[(1045, 328), (1049, 370), (1039, 371), (1035, 329)]","{'Width': 14, 'Height': 43, 'Left': 1035, 'Top': 328}","(-10.5, 0.1, -10.5, 0.1)",10.04987562,42.19004622,vertical,"(1042.0, 349.5)","(1, 0)",1035,328,0,cropped_images_1\cropped_366.jpg
BECOMING,100,"[(1085, 56), (1107, 319), (1074, 322), (1052, 59)]","{'Width': 55, 'Height': 266, 'Left': 1052, 'Top': 56}","(-11.955, 0.091, -11.955, 0.091)",33.13608305,263.918548,vertical,"(1079.5, 189.0)","(1, 0)",1052,56,1,cropped_images_1\cropped_367.jpg
YOUNG,100,"[(1089, 342), (1093, 390), (1078, 391), (1074, 343)]","{'Width': 19, 'Height': 49, 'Left': 1074, 'Top': 342}","(-12.0, 0.067, -12.0, 0.067)",15.03329638,48.16637832,vertical,"(1083.5, 366.5)","(1, 0)",1074,342,1,cropped_images_1\cropped_368.jpg
READERS,100,"[(1093, 396), (1098, 458), (1084, 459), (1079, 397)]","{'Width': 19, 'Height': 63, 'Left': 1079, 'Top': 396}","(-12.4, 0.071, -12.4, 0.071)",14.03566885,62.20128616,vertical,"(1088.5, 427.5)","(1, 0)",1079,396,1,cropped_images_1\cropped_369.jpg
OBAMA,100,"[(1098, 483), (1104, 565), (1089, 566), (1083, 484)]","{'Width': 21, 'Height': 83, 'Left': 1083, 'Top': 483}","(-13.667, 0.067, -13.667, 0.067)",15.03329638,82.21921916,vertical,"(1093.5, 524.5)","(1, 0)",1083,483,1,cropped_images_1\cropped_370.jpg
ADAPTED,100,"[(1112, 349), (1118, 413), (1101, 414), (1095, 350)]","{'Width': 23, 'Height': 65, 'Left': 1095, 'Top': 349}","(-10.667, 0.059, -10.667, 0.059)",17.02938637,64.28063472,vertical,"(1106.5, 381.5)","(1, 0)",1095,349,1,cropped_images_1\cropped_371.jpg
FOR,100,"[(1118, 418), (1120, 446), (1104, 447), (1101, 419)]","{'Width': 19, 'Height': 29, 'Left': 1101, 'Top': 418}","(-14.0, 0.062, -9.333, 0.059)",16.53030295,28.11579669,vertical,"(1110.75, 432.5)","(1, 0)",1101,418,1,cropped_images_1\cropped_372.jpg
MICHELLE,100,"[(1123, 469), (1132, 576), (1115, 577), (1106, 470)]","{'Width': 26, 'Height': 108, 'Left': 1106, 'Top': 469}","(-11.889, 0.059, -11.889, 0.059)",17.02938637,107.3778376,vertical,"(1119.0, 523.0)","(1, 0)",1106,469,1,cropped_images_1\cropped_373.jpg
WORDS,100,"[(1167, 146), (1176, 254), (1154, 256), (1145, 148)]","{'Width': 31, 'Height': 110, 'Left': 1145, 'Top': 146}","(-12.0, 0.091, -12.0, 0.091)",22.09072203,108.3743512,vertical,"(1160.5, 201.0)","(1, 0)",1145,146,1,cropped_images_1\cropped_374.jpg
FAIL,100,"[(1178, 269), (1183, 332), (1161, 334), (1155, 271)]","{'Width': 28, 'Height': 65, 'Left': 1155, 'Top': 269}","(-12.6, 0.091, -10.5, 0.087)",22.5887574,63.24158528,vertical,"(1169.25, 301.5)","(1, 0)",1155,269,1,cropped_images_1\cropped_375.jpg
ME,100,"[(1184, 348), (1188, 389), (1166, 391), (1162, 350)]","{'Width': 26, 'Height': 43, 'Left': 1162, 'Top': 348}","(-10.25, 0.091, -10.25, 0.091)",22.09072203,41.19465985,vertical,"(1175.0, 369.5)","(1, 0)",1162,348,1,cropped_images_1\cropped_376.jpg
Patricia,100,"[(1190, 439), (1194, 489), (1177, 490), (1173, 440)]","{'Width': 21, 'Height': 51, 'Left': 1173, 'Top': 439}","(-12.5, 0.059, -12.5, 0.059)",17.02938637,50.15974482,vertical,"(1183.5, 464.5)","(1, 0)",1173,439,1,cropped_images_1\cropped_377.jpg
1,100,"[(1194, 493), (1195, 504), (1179, 505), (1178, 494)]","{'Width': 17, 'Height': 12, 'Left': 1178, 'Top': 493}","(-11.0, 0.062, -11.0, 0.062)",16.03121954,11.04536102,vertical,"(1186.5, 499.0)","(1, 0)",1178,493,0,cropped_images_1\cropped_378.jpg
O'Conner,100,"[(1195, 505), (1199, 560), (1184, 561), (1179, 506)]","{'Width': 20, 'Height': 56, 'Left': 1179, 'Top': 505}","(-13.75, 0.067, -11.0, 0.062)",15.53225796,55.1860339,vertical,"(1189.25, 533.0)","(1, 0)",1179,505,1,cropped_images_1\cropped_379.jpg
E,100,"[(1201, 582), (1202, 597), (1186, 598), (1185, 583)]","{'Width': 17, 'Height': 16, 'Left': 1185, 'Top': 582}","(-15.0, 0.062, -15.0, 0.062)",16.03121954,15.03329638,vertical,"(1193.5, 590.0)","(1, 0)",1185,582,0,cropped_images_1\cropped_380.jpg
Unwanted,100,"[(1186, 230), (1268, 222), (1269, 237), (1187, 245)]","{'Width': 83, 'Height': 23, 'Left': 1186, 'Top': 222}","(0.098, -15.0, 0.098, -15.0)",15.03329638,82.3893197,horizontal,"(1227.5, 233.5)","(1, 0)",1186,222,1,cropped_images_1\cropped_381.jpg
Michael,100,"[(1210, 422), (1279, 418), (1280, 433), (1211, 437)]","{'Width': 70, 'Height': 19, 'Left': 1210, 'Top': 418}","(0.058, -15.0, 0.058, -15.0)",15.03329638,69.11584478,horizontal,"(1245.0, 427.5)","(1, 0)",1210,418,1,cropped_images_1\cropped_382.jpg
The,100,"[(1211, 208), (1241, 206), (1242, 217), (1212, 219)]","{'Width': 31, 'Height': 13, 'Left': 1211, 'Top': 206}","(0.067, -11.0, 0.067, -11.0)",11.04536102,30.06659276,horizontal,"(1226.5, 212.5)","(1, 0)",1211,206,1,cropped_images_1\cropped_383.jpg
Dobbs,100,"[(1219, 445), (1271, 442), (1272, 457), (1220, 460)]","{'Width': 53, 'Height': 18, 'Left': 1219, 'Top': 442}","(0.058, -15.0, 0.058, -15.0)",15.03329638,52.08646657,horizontal,"(1245.5, 451.0)","(1, 0)",1219,442,1,cropped_images_1\cropped_384.jpg
K,100,"[(1270, 610), (1270, 622), (1248, 623), (1248, 611)]","{'Width': 22, 'Height': 13, 'Left': 1248, 'Top': 610}","(1000.0, 0.045, 1000.0, 0.045)",22.02271555,12.0,vertical,"(1259.0, 616.5)","(1, 0)",1248,610,0,cropped_images_1\cropped_385.jpg
Ky,100,"[(1307, 309), (1309, 330), (1294, 331), (1292, 310)]","{'Width': 17, 'Height': 22, 'Left': 1292, 'Top': 309}","(-10.5, 0.067, -10.5, 0.067)",15.03329638,21.09502311,vertical,"(1300.5, 320.0)","(1, 0)",1292,309,0,cropped_images_1\cropped_386.jpg
name,100,"[(1308, 330), (1311, 367), (1297, 368), (1294, 331)]","{'Width': 17, 'Height': 38, 'Left': 1294, 'Top': 330}","(-12.333, 0.071, -12.333, 0.071)",14.03566885,37.12142239,vertical,"(1302.5, 349.0)","(1, 0)",1294,330,1,cropped_images_1\cropped_387.jpg
is,100,"[(1311, 371), (1312, 388), (1298, 389), (1297, 372)]","{'Width': 15, 'Height': 18, 'Left': 1297, 'Top': 371}","(-17.0, 0.071, -17.0, 0.071)",14.03566885,17.02938637,vertical,"(1304.5, 380.0)","(1, 0)",1297,371,1,cropped_images_1\cropped_388.jpg
Jason,100,"[(1313, 392), (1316, 433), (1301, 434), (1298, 393)]","{'Width': 18, 'Height': 42, 'Left': 1298, 'Top': 392}","(-13.667, 0.067, -13.667, 0.067)",15.03329638,41.10960958,vertical,"(1307.0, 413.0)","(1, 0)",1298,392,1,cropped_images_1\cropped_389.jpg
.,100,"[(1316, 432), (1316, 438), (1302, 439), (1302, 433)]","{'Width': 14, 'Height': 7, 'Left': 1302, 'Top': 432}","(1000.0, 0.071, 1000.0, 0.071)",14.03566885,6.0,vertical,"(1309.0, 435.5)","(1, 0)",1302,432,1,cropped_images_1\cropped_390.jpg
Kine,100,"[(1317, 445), (1319, 478), (1304, 479), (1302, 446)]","{'Width': 17, 'Height': 34, 'Left': 1302, 'Top': 445}","(-16.5, 0.067, -16.5, 0.067)",15.03329638,33.06055051,vertical,"(1310.5, 462.0)","(1, 0)",1302,445,0,cropped_images_1\cropped_391.jpg
too,100,"[(1319, 482), (1321, 508), (1307, 509), (1305, 483)]","{'Width': 16, 'Height': 27, 'Left': 1305, 'Top': 482}","(-13.0, 0.071, -13.0, 0.071)",14.03566885,26.07680962,vertical,"(1313.0, 495.5)","(1, 0)",1305,482,1,cropped_images_1\cropped_392.jpg
Eats,100,"[(1350, 175), (1355, 234), (1328, 236), (1323, 177)]","{'Width': 32, 'Height': 61, 'Left': 1323, 'Top': 175}","(-11.8, 0.074, -11.8, 0.074)",27.07397274,59.21148537,vertical,"(1339.0, 205.5)","(1, 0)",1323,175,1,cropped_images_1\cropped_393.jpg
Shoots,100,"[(1358, 258), (1367, 355), (1340, 357), (1331, 260)]","{'Width': 36, 'Height': 99, 'Left': 1331, 'Top': 258}","(-10.778, 0.074, -10.778, 0.074)",27.07397274,97.41663102,vertical,"(1349.0, 307.5)","(1, 0)",1331,258,1,cropped_images_1\cropped_394.jpg
&,100,"[(1367, 363), (1369, 386), (1343, 388), (1341, 365)]","{'Width': 28, 'Height': 25, 'Left': 1341, 'Top': 363}","(-11.5, 0.077, -11.5, 0.077)",26.07680962,23.08679276,vertical,"(1355.0, 375.5)","(1, 0)",1341,363,1,cropped_images_1\cropped_395.jpg
Leaves,100,"[(1370, 400), (1379, 499), (1353, 501), (1344, 402)]","{'Width': 35, 'Height': 101, 'Left': 1344, 'Top': 400}","(-11.0, 0.077, -11.0, 0.077)",26.07680962,99.40824915,vertical,"(1361.5, 450.5)","(1, 0)",1344,400,1,cropped_images_1\cropped_396.jpg
A,100,"[(1361, 578), (1373, 577), (1374, 594), (1362, 595)]","{'Width': 13, 'Height': 18, 'Left': 1361, 'Top': 577}","(0.083, -17.0, 0.083, -17.0)",17.02938637,12.04159458,horizontal,"(1367.5, 586.0)","(1, 0)",1361,577,0,cropped_images_1\cropped_397.jpg
MUHAMMAD,100,"[(1388, 205), (1394, 285), (1381, 286), (1375, 206)]","{'Width': 19, 'Height': 81, 'Left': 1375, 'Top': 205}","(-13.333, 0.077, -13.333, 0.077)",13.03840481,80.22468448,vertical,"(1384.5, 245.5)","(1, 0)",1375,205,1,cropped_images_1\cropped_398.jpg
ALL,100,"[(1394, 287), (1396, 308), (1383, 309), (1381, 288)]","{'Width': 15, 'Height': 22, 'Left': 1381, 'Top': 287}","(-10.5, 0.077, -10.5, 0.077)",13.03840481,21.09502311,vertical,"(1388.5, 298.0)","(1, 0)",1381,287,0,cropped_images_1\cropped_399.jpg
:,100,"[(1395, 305), (1396, 312), (1384, 313), (1383, 306)]","{'Width': 13, 'Height': 8, 'Left': 1383, 'Top': 305}","(-7.0, 0.083, -7.0, 0.083)",12.04159458,7.071067812,vertical,"(1389.5, 309.0)","(1, 0)",1383,305,1,cropped_images_1\cropped_400.jpg
THE,100,"[(1396, 317), (1398, 338), (1386, 339), (1384, 318)]","{'Width': 14, 'Height': 22, 'Left': 1384, 'Top': 317}","(-10.5, 0.083, -10.5, 0.083)",12.04159458,21.09502311,vertical,"(1391.0, 328.0)","(1, 0)",1384,317,1,cropped_images_1\cropped_401.jpg
GREATEST,100,"[(1398, 338), (1402, 390), (1389, 391), (1385, 339)]","{'Width': 17, 'Height': 53, 'Left': 1385, 'Top': 338}","(-13.0, 0.077, -13.0, 0.077)",13.03840481,52.15361924,vertical,"(1393.5, 364.5)","(1, 0)",1385,338,1,cropped_images_1\cropped_402.jpg
My,100,"[(17, 309), (19, 329), (6, 330), (4, 310)]","{'Width': 15, 'Height': 21, 'Left': 4, 'Top': 309}","(-10.0, 0.077, -10.0, 0.077)",13.03840481,20.09975124,vertical,"(11.5, 319.5)","(1, 1)",4,309,0,cropped_images_1\cropped_403.jpg
name,100,"[(19, 330), (22, 367), (9, 368), (6, 331)]","{'Width': 16, 'Height': 38, 'Left': 6, 'Top': 330}","(-12.333, 0.077, -12.333, 0.077)",13.03840481,37.12142239,vertical,"(14.0, 349.0)","(1, 1)",6,330,1,cropped_images_1\cropped_404.jpg
is,100,"[(21, 372), (22, 388), (10, 389), (9, 373)]","{'Width': 13, 'Height': 17, 'Left': 9, 'Top': 372}","(-16.0, 0.083, -16.0, 0.083)",12.04159458,16.03121954,vertical,"(15.5, 380.5)","(1, 1)",9,372,1,cropped_images_1\cropped_405.jpg
Jason,100,"[(23, 392), (26, 432), (13, 433), (10, 393)]","{'Width': 16, 'Height': 41, 'Left': 10, 'Top': 392}","(-13.333, 0.077, -13.333, 0.077)",13.03840481,40.11234224,vertical,"(18.0, 412.5)","(1, 1)",10,392,1,cropped_images_1\cropped_406.jpg
.,100,"[(26, 431), (26, 437), (14, 438), (14, 432)]","{'Width': 12, 'Height': 7, 'Left': 14, 'Top': 431}","(1000.0, 0.083, 1000.0, 0.083)",12.04159458,6.0,vertical,"(20.0, 434.5)","(1, 1)",14,431,1,cropped_images_1\cropped_407.jpg
Kine,100,"[(27, 445), (29, 478), (18, 479), (15, 446)]","{'Width': 14, 'Height': 34, 'Left': 15, 'Top': 445}","(-16.5, 0.091, -11.0, 0.083)",11.5434778,33.09831678,vertical,"(22.25, 462.0)","(1, 1)",15,445,0,cropped_images_1\cropped_408.jpg
too-,100,"[(30, 483), (32, 513), (19, 514), (17, 484)]","{'Width': 15, 'Height': 31, 'Left': 17, 'Top': 483}","(-15.0, 0.077, -15.0, 0.077)",13.03840481,30.06659276,vertical,"(24.5, 498.5)","(1, 1)",17,483,0,cropped_images_1\cropped_409.jpg
Eats,100,"[(61, 175), (66, 234), (39, 236), (34, 177)]","{'Width': 32, 'Height': 61, 'Left': 34, 'Top': 175}","(-11.8, 0.074, -11.8, 0.074)",27.07397274,59.21148537,vertical,"(50.0, 205.5)","(1, 1)",34,175,1,cropped_images_1\cropped_410.jpg
Shoots,100,"[(68, 258), (76, 355), (50, 357), (42, 260)]","{'Width': 34, 'Height': 99, 'Left': 42, 'Top': 258}","(-12.125, 0.077, -12.125, 0.077)",26.07680962,97.32933782,vertical,"(59.0, 307.5)","(1, 1)",42,258,1,cropped_images_1\cropped_411.jpg
&,100,"[(77, 363), (79, 387), (53, 389), (51, 365)]","{'Width': 28, 'Height': 26, 'Left': 51, 'Top': 363}","(-12.0, 0.077, -12.0, 0.077)",26.07680962,24.08318916,vertical,"(65.0, 376.0)","(1, 1)",51,363,1,cropped_images_1\cropped_412.jpg
Leaves,100,"[(81, 401), (89, 498), (62, 500), (54, 403)]","{'Width': 35, 'Height': 99, 'Left': 54, 'Top': 401}","(-12.125, 0.074, -12.125, 0.074)",27.07397274,97.32933782,vertical,"(71.5, 450.5)","(1, 1)",54,401,1,cropped_images_1\cropped_413.jpg
TRUSS,100,"[(55, 535), (94, 532), (95, 546), (56, 549)]","{'Width': 40, 'Height': 17, 'Left': 55, 'Top': 532}","(0.077, -14.0, 0.077, -14.0)",14.03566885,39.11521443,horizontal,"(75.0, 540.5)","(1, 1)",55,532,1,cropped_images_1\cropped_414.jpg
MUHAMMAD,100,"[(99, 205), (105, 285), (93, 286), (87, 206)]","{'Width': 18, 'Height': 81, 'Left': 87, 'Top': 205}","(-13.333, 0.083, -13.333, 0.083)",12.04159458,80.22468448,vertical,"(96.0, 245.5)","(1, 1)",87,205,1,cropped_images_1\cropped_415.jpg
AL,100,"[(104, 287), (105, 307), (94, 308), (93, 288)]","{'Width': 12, 'Height': 21, 'Left': 93, 'Top': 287}","(-20.0, 0.091, -20.0, 0.091)",11.04536102,20.02498439,vertical,"(99.0, 297.5)","(1, 1)",93,287,1,cropped_images_1\cropped_416.jpg
:,100,"[(106, 304), (107, 312), (96, 313), (95, 305)]","{'Width': 12, 'Height': 9, 'Left': 95, 'Top': 304}","(-8.0, 0.091, -8.0, 0.091)",11.04536102,8.062257748,vertical,"(101.0, 308.5)","(1, 1)",95,304,1,cropped_images_1\cropped_417.jpg
THE,100,"[(107, 315), (109, 339), (98, 340), (96, 316)]","{'Width': 13, 'Height': 25, 'Left': 96, 'Top': 315}","(-12.0, 0.091, -12.0, 0.091)",11.04536102,24.08318916,vertical,"(102.5, 327.5)","(1, 1)",96,315,1,cropped_images_1\cropped_418.jpg
GREATEST,100,"[(109, 338), (113, 392), (101, 393), (97, 339)]","{'Width': 16, 'Height': 55, 'Left': 97, 'Top': 338}","(-13.5, 0.083, -13.5, 0.083)",12.04159458,54.14794548,vertical,"(105.0, 365.5)","(1, 1)",97,338,1,cropped_images_1\cropped_419.jpg
HAPPINESS,100,"[(148, 183), (154, 277), (139, 278), (133, 184)]","{'Width': 21, 'Height': 95, 'Left': 133, 'Top': 183}","(-15.667, 0.067, -15.667, 0.067)",15.03329638,94.19129471,vertical,"(143.5, 230.5)","(1, 1)",133,183,1,cropped_images_1\cropped_420.jpg
PROJECT,100,"[(154, 283), (158, 355), (143, 356), (139, 284)]","{'Width': 19, 'Height': 73, 'Left': 139, 'Top': 283}","(-18.0, 0.067, -18.0, 0.067)",15.03329638,72.11102551,vertical,"(148.5, 319.5)","(1, 1)",139,283,1,cropped_images_1\cropped_421.jpg
