txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top,Label
TELL,100,"[(1323, 417), (1373, 422), (1371, 444), (1321, 439)]","{'Width': 52, 'Height': 27, 'Left': 1321, 'Top': 417}","(-0.1, 11.0, -0.1, 11.0)",22.09072203,50.24937811,horizontal,"(1347.0, 430.5)","(0, 0)",1321,417.0,0.0
OLD,100,"[(1330, 439), (1358, 442), (1357, 456), (1329, 453)]","{'Width': 29, 'Height': 17, 'Left': 1329, 'Top': 439}","(-0.107, 14.0, -0.107, 14.0)",14.03566885,28.16025568,horizontal,"(1343.5, 447.5)","(0, 0)",1329,439.0,0.0
AND,100,"[(1332, 388), (1362, 391), (1361, 404), (1331, 401)]","{'Width': 31, 'Height': 16, 'Left': 1331, 'Top': 388}","(-0.1, 13.0, -0.1, 13.0)",13.03840481,30.14962686,horizontal,"(1346.5, 396.0)","(0, 0)",1331,388.0,0.0
C,100,"[(1341, 472), (1358, 474), (1356, 492), (1339, 491)]","{'Width': 19, 'Height': 20, 'Left': 1339, 'Top': 472}","(-0.118, 9.0, -0.059, 9.5)",18.60787173,17.07331457,horizontal,"(1348.5, 482.25)","(0, 0)",1339,472.0,0.0
.,100,"[(1345, 457), (1353, 458), (1352, 472), (1344, 471)]","{'Width': 9, 'Height': 15, 'Left': 1344, 'Top': 457}","(-0.125, 14.0, -0.125, 14.0)",14.03566885,8.062257748,horizontal,"(1348.5, 464.5)","(0, 0)",1344,457.0,0.0
TR,100,"[(1355, 458), (1376, 460), (1375, 474), (1354, 472)]","{'Width': 22, 'Height': 16, 'Left': 1354, 'Top': 458}","(-0.095, 14.0, -0.095, 14.0)",14.03566885,21.09502311,horizontal,"(1365.0, 466.0)","(0, 0)",1354,458.0,0.0
DAYS,100,"[(1362, 442), (1398, 445), (1397, 459), (1361, 456)]","{'Width': 37, 'Height': 17, 'Left': 1361, 'Top': 442}","(-0.083, 14.0, -0.083, 14.0)",14.03566885,36.12478374,horizontal,"(1379.5, 450.5)","(0, 0)",1361,442.0,0.0
SPEND,100,"[(1364, 391), (1409, 395), (1408, 409), (1363, 405)]","{'Width': 46, 'Height': 18, 'Left': 1363, 'Top': 391}","(-0.089, 14.0, -0.089, 14.0)",14.03566885,45.17742799,horizontal,"(1386.0, 400.0)","(0, 0)",1363,391.0,0.0
EVERYD,100,"[(1373, 406), (1440, 412), (1438, 427), (1372, 421)]","{'Width': 68, 'Height': 21, 'Left': 1372, 'Top': 406}","(-0.09, 7.5, -0.091, 15.0)",15.08302116,66.77014317,horizontal,"(1405.75, 416.5)","(0, 0)",1372,406.0,0.0
STO,100,"[(1379, 423), (1419, 427), (1417, 448), (1377, 444)]","{'Width': 42, 'Height': 25, 'Left': 1377, 'Top': 423}","(-0.1, 10.5, -0.1, 10.5)",21.09502311,40.19950248,horizontal,"(1398.0, 435.5)","(0, 0)",1377,423.0,0.0
QUALITY,100,"[(1413, 395), (1468, 400), (1466, 414), (1412, 409)]","{'Width': 56, 'Height': 19, 'Left': 1412, 'Top': 395}","(-0.091, 7.0, -0.093, 14.0)",14.08890224,54.72889627,horizontal,"(1439.75, 404.5)","(0, 0)",1412,395.0,0.0
BIG,100,"[(1420, 375), (1463, 379), (1461, 400), (1418, 396)]","{'Width': 45, 'Height': 25, 'Left': 1418, 'Top': 375}","(-0.093, 10.5, -0.093, 10.5)",21.09502311,43.18564576,horizontal,"(1440.5, 387.5)","(0, 0)",1418,375.0,0.0
IS,100,"[(1436, 643), (1467, 646), (1465, 667), (1434, 664)]","{'Width': 33, 'Height': 24, 'Left': 1434, 'Top': 643}","(-0.097, 10.5, -0.097, 10.5)",21.09502311,31.144823,horizontal,"(1450.5, 655.0)","(0, 0)",1434,643.0,0.0
ALD,100,"[(1439, 630), (1469, 632), (1468, 643), (1438, 641)]","{'Width': 31, 'Height': 13, 'Left': 1438, 'Top': 630}","(-0.067, 11.0, -0.067, 11.0)",11.04536102,30.06659276,horizontal,"(1453.5, 636.5)","(0, 0)",1438,630.0,0.0
D.,100,"[(1451, 670), (1473, 672), (1472, 684), (1450, 682)]","{'Width': 23, 'Height': 14, 'Left': 1450, 'Top': 670}","(-0.091, 12.0, -0.091, 12.0)",12.04159458,22.09072203,horizontal,"(1461.5, 677.0)","(0, 0)",1450,670.0,0.0
.,100,"[(1462, 380), (1469, 381), (1467, 401), (1460, 400)]","{'Width': 9, 'Height': 21, 'Left': 1460, 'Top': 380}","(-0.143, 10.0, -0.143, 10.0)",20.09975124,7.071067812,horizontal,"(1464.5, 390.5)","(0, 0)",1460,380.0,0.0
.,100,"[(1463, 646), (1474, 647), (1472, 667), (1461, 666)]","{'Width': 13, 'Height': 21, 'Left': 1461, 'Top': 646}","(-0.091, 10.0, -0.091, 10.0)",20.09975124,11.04536102,horizontal,"(1467.5, 656.5)","(0, 0)",1461,646.0,0.0
AUT,100,"[(0, 400), (28, 401), (28, 413), (0, 412)]","{'Width': 28, 'Height': 13, 'Left': 0, 'Top': 400}","(-0.036, 1000.0, -0.036, 1000.0)",12.0,28.01785145,horizontal,"(14.0, 406.5)","(0, 1)",0,400.0,0.0
IS,100,"[(0, 644), (32, 648), (29, 668), (0, 664)]","{'Width': 32, 'Height': 24, 'Left': 0, 'Top': 644}","(-0.125, 6.667, -0.138, 1000.0)",20.11187421,30.76179666,horizontal,"(15.25, 656.0)","(0, 1)",0,644.0,0.0
IG,100,"[(2, 380), (25, 381), (25, 398), (2, 397)]","{'Width': 23, 'Height': 18, 'Left': 2, 'Top': 380}","(-0.043, 1000.0, -0.043, 1000.0)",17.0,23.02172887,horizontal,"(13.5, 389.0)","(0, 1)",2,380.0,0.0
ALD,100,"[(5, 630), (34, 632), (33, 642), (4, 641)]","{'Width': 30, 'Height': 12, 'Left': 4, 'Top': 630}","(-0.069, 10.0, -0.034, 11.0)",10.54761832,29.04305998,horizontal,"(19.0, 636.25)","(0, 1)",4,630.0,0.0
D.,100,"[(15, 670), (36, 671), (36, 684), (15, 683)]","{'Width': 21, 'Height': 14, 'Left': 15, 'Top': 670}","(-0.048, 1000.0, -0.048, 1000.0)",13.0,21.02379604,horizontal,"(25.5, 677.0)","(0, 1)",15,670.0,0.0
.,100,"[(27, 380), (34, 380), (34, 397), (27, 397)]","{'Width': 7, 'Height': 17, 'Left': 27, 'Top': 380}","(-0.0, 1000.0, 0.0, 1000.0)",17.0,7,horizontal,"(30.5, 388.5)","(0, 1)",27,380.0,0.0
.,100,"[(29, 647), (40, 648), (37, 668), (27, 667)]","{'Width': 13, 'Height': 21, 'Left': 27, 'Top': 647}","(-0.091, 6.667, -0.1, 10.0)",20.16174983,10.54761832,horizontal,"(33.25, 657.5)","(0, 1)",27,647.0,0.0
AWAITS,100,"[(289, 693), (419, 684), (421, 718), (291, 727)]","{'Width': 132, 'Height': 43, 'Left': 289, 'Top': 684}","(0.069, -17.0, 0.069, -17.0)",34.05877273,130.3111661,horizontal,"(355.0, 705.5)","(0, 1)",289,684.0,0.0
AYAYA,100,"[(350, 661), (402, 352), (478, 365), (426, 674)]","{'Width': 128, 'Height': 322, 'Left': 350, 'Top': 352}","(5.942, -0.171, 5.942, -0.171)",77.1038261,313.3448579,vertical,"(414.0, 513.0)","(0, 1)",350,352.0,0.0
Moose,100,"[(554, 561), (675, 565), (673, 622), (552, 618)]","{'Width': 123, 'Height': 61, 'Left': 552, 'Top': 561}","(-0.033, 28.5, -0.033, 28.5)",57.03507693,121.0660976,horizontal,"(613.5, 591.5)","(0, 1)",552,561.0,0.0
silently,100,"[(599, 446), (806, 440), (808, 501), (601, 507)]","{'Width': 209, 'Height': 67, 'Left': 599, 'Top': 440}","(0.029, -30.5, 0.029, -30.5)",61.03277808,207.0869383,horizontal,"(703.5, 473.5)","(0, 1)",599,440.0,0.0
I,100,"[(644, 364), (673, 365), (672, 419), (643, 418)]","{'Width': 30, 'Height': 55, 'Left': 643, 'Top': 364}","(-0.034, 54.0, -0.034, 54.0)",54.00925847,29.01723626,horizontal,"(658.0, 391.5)","(0, 1)",643,364.0,0.0
Island,100,"[(676, 565), (805, 569), (803, 625), (674, 621)]","{'Width': 131, 'Height': 60, 'Left': 674, 'Top': 565}","(-0.031, 28.0, -0.031, 28.0)",56.0357029,129.0620006,horizontal,"(739.5, 595.0)","(0, 1)",674,565.0,0.0
am,100,"[(683, 364), (767, 365), (766, 419), (682, 418)]","{'Width': 85, 'Height': 55, 'Left': 682, 'Top': 364}","(-0.012, 54.0, -0.012, 54.0)",54.00925847,84.00595217,horizontal,"(724.5, 391.5)","(0, 1)",682,364.0,0.0
(,100,"[(804, 569), (838, 570), (836, 626), (802, 625)]","{'Width': 36, 'Height': 57, 'Left': 802, 'Top': 569}","(-0.029, 28.0, -0.029, 28.0)",56.0357029,34.0147027,horizontal,"(820.0, 597.5)","(0, 1)",802,569.0,0.0
STAMPED,100,"[(238, 44), (240, 164), (211, 165), (209, 45)]","{'Width': 31, 'Height': 121, 'Left': 209, 'Top': 44}","(-60.0, 0.034, -60.0, 0.034)",29.01723626,120.0166655,vertical,"(224.5, 104.5)","(1, 0)",209,44.0,1.0
MUST,100,"[(249, 597), (251, 702), (211, 703), (209, 598)]","{'Width': 42, 'Height': 106, 'Left': 209, 'Top': 597}","(-52.5, 0.025, -52.5, 0.025)",40.01249805,105.0190459,vertical,"(230.0, 650.0)","(1, 0)",209,597.0,1.0
betray,100,"[(251, 704), (253, 825), (213, 826), (211, 705)]","{'Width': 42, 'Height': 122, 'Left': 211, 'Top': 704}","(-60.5, 0.025, -60.5, 0.025)",40.01249805,121.0165278,vertical,"(232.0, 765.0)","(1, 0)",211,704.0,1.0
YOU,100,"[(252, 825), (253, 913), (214, 914), (213, 826)]","{'Width': 40, 'Height': 89, 'Left': 213, 'Top': 825}","(-88.0, 0.026, -88.0, 0.026)",39.01281841,88.00568163,vertical,"(233.0, 869.5)","(1, 0)",213,825.0,1.0
Wor,100,"[(233, 170), (233, 194), (223, 194), (223, 170)]","{'Width': 10, 'Height': 24, 'Left': 223, 'Top': 170}","(1000.0, 0.0, 1000.0, -0.0)",10.0,24,vertical,"(228.0, 182.0)","(1, 0)",223,170.0,1.0
DRAPER,100,"[(243, 1112), (244, 1186), (229, 1186), (228, 1112)]","{'Width': 16, 'Height': 74, 'Left': 228, 'Top': 1112}","(-74.0, 0.0, -74.0, -0.0)",15.0,74.00675645,vertical,"(236.0, 1149.0)","(1, 0)",228,1112.0,1.0
STAMPED,100,"[(284, 45), (287, 168), (258, 169), (255, 46)]","{'Width': 32, 'Height': 124, 'Left': 255, 'Top': 45}","(-41.0, 0.034, -41.0, 0.034)",29.01723626,123.0365799,vertical,"(271.0, 107.0)","(1, 0)",255,45.0,1.0
betray,100,"[(315, 709), (314, 827), (271, 827), (272, 709)]","{'Width': 44, 'Height': 118, 'Left': 271, 'Top': 709}","(118.0, 0.0, 118.0, -0.0)",43.0,118.0042372,vertical,"(293.0, 768.0)","(1, 0)",271,709.0,1.0
YOU,100,"[(314, 831), (314, 911), (271, 911), (271, 831)]","{'Width': 43, 'Height': 80, 'Left': 271, 'Top': 831}","(1000.0, 0.0, 1000.0, -0.0)",43.0,80,vertical,"(292.5, 871.0)","(1, 0)",271,831.0,1.0
MUST,100,"[(315, 600), (315, 707), (272, 707), (272, 600)]","{'Width': 43, 'Height': 107, 'Left': 272, 'Top': 600}","(1000.0, 0.0, 1000.0, -0.0)",43.0,107,vertical,"(293.5, 653.5)","(1, 0)",272,600.0,1.0
STAMPED,100,"[(326, 46), (329, 172), (299, 173), (296, 47)]","{'Width': 33, 'Height': 127, 'Left': 296, 'Top': 46}","(-42.0, 0.033, -42.0, 0.033)",30.01666204,126.0357092,vertical,"(312.5, 109.5)","(1, 0)",296,46.0,1.0
DRAPER,100,"[(316, 1114), (315, 1188), (299, 1188), (300, 1114)]","{'Width': 17, 'Height': 74, 'Left': 299, 'Top': 1114}","(74.0, 0.0, 74.0, -0.0)",16.0,74.00675645,vertical,"(307.5, 1151.0)","(1, 0)",299,1114.0,1.0
611PARA,100,"[(316, 1217), (317, 1448), (301, 1448), (300, 1217)]","{'Width': 17, 'Height': 231, 'Left': 300, 'Top': 1217}","(-231.0, 0.0, -231.0, -0.0)",16.0,231.0021645,vertical,"(308.5, 1332.5)","(1, 0)",300,1217.0,0.0
STAMPED,100,"[(366, 50), (371, 171), (341, 172), (336, 51)]","{'Width': 35, 'Height': 122, 'Left': 336, 'Top': 50}","(-24.2, 0.033, -24.2, 0.033)",30.01666204,121.1032617,vertical,"(353.5, 111.0)","(1, 0)",336,50.0,1.0
YOU,100,"[(386, 834), (385, 917), (340, 916), (341, 833)]","{'Width': 46, 'Height': 84, 'Left': 340, 'Top': 833}","(83.0, -0.022, 83.0, -0.022)",45.01110974,83.00602388,vertical,"(363.0, 875.0)","(1, 0)",340,833.0,1.0
betray,100,"[(388, 711), (386, 832), (342, 831), (343, 710)]","{'Width': 46, 'Height': 122, 'Left': 342, 'Top': 710}","(60.5, -0.023, 121.0, -0.022)",44.51123595,121.01033,vertical,"(364.75, 771.0)","(1, 0)",342,710.0,1.0
MUST,100,"[(389, 605), (388, 712), (343, 711), (344, 604)]","{'Width': 46, 'Height': 108, 'Left': 343, 'Top': 604}","(107.0, -0.022, 107.0, -0.022)",45.01110974,107.0046728,vertical,"(366.0, 658.0)","(1, 0)",343,604.0,1.0
61,100,"[(372, 1221), (372, 1278), (355, 1278), (355, 1221)]","{'Width': 17, 'Height': 57, 'Left': 355, 'Top': 1221}","(1000.0, 0.0, 1000.0, -0.0)",17.0,57,vertical,"(363.5, 1249.5)","(1, 0)",355,1221.0,0.0
&,100,"[(371, 1290), (371, 1317), (355, 1317), (355, 1290)]","{'Width': 16, 'Height': 27, 'Left': 355, 'Top': 1290}","(1000.0, 0.0, 1000.0, -0.0)",16.0,27,vertical,"(363.0, 1303.5)","(1, 0)",355,1290.0,0.0
PARA,100,"[(371, 1325), (371, 1449), (355, 1449), (355, 1325)]","{'Width': 16, 'Height': 124, 'Left': 355, 'Top': 1325}","(1000.0, 0.0, 1000.0, -0.0)",16.0,124,vertical,"(363.0, 1387.0)","(1, 0)",355,1325.0,0.0
DRAPER,100,"[(372, 1117), (371, 1191), (357, 1191), (358, 1117)]","{'Width': 15, 'Height': 74, 'Left': 357, 'Top': 1117}","(74.0, 0.0, 74.0, -0.0)",14.0,74.00675645,vertical,"(364.5, 1154.0)","(1, 0)",357,1117.0,1.0
STAPPED,100,"[(414, 52), (417, 175), (389, 176), (386, 53)]","{'Width': 31, 'Height': 124, 'Left': 386, 'Top': 52}","(-41.0, 0.036, -41.0, 0.036)",28.01785145,123.0365799,vertical,"(401.5, 114.0)","(1, 0)",386,52.0,1.0
YOU,100,"[(448, 833), (447, 915), (408, 915), (409, 833)]","{'Width': 40, 'Height': 82, 'Left': 408, 'Top': 833}","(82.0, 0.0, 82.0, -0.0)",39.0,82.00609733,vertical,"(428.0, 874.0)","(1, 0)",408,833.0,1.0
betray,100,"[(449, 712), (448, 833), (409, 833), (410, 712)]","{'Width': 40, 'Height': 121, 'Left': 409, 'Top': 712}","(121.0, 0.0, 121.0, -0.0)",39.0,121.0041322,vertical,"(429.0, 772.5)","(1, 0)",409,712.0,1.0
MUST,100,"[(450, 606), (449, 712), (410, 712), (411, 606)]","{'Width': 40, 'Height': 106, 'Left': 410, 'Top': 606}","(106.0, 0.0, 106.0, -0.0)",39.0,106.0047169,vertical,"(430.0, 659.0)","(1, 0)",410,606.0,1.0
61,100,"[(433, 1275), (420, 1275), (420, 1226), (433, 1226)]","{'Width': 13, 'Height': 49, 'Left': 420, 'Top': 1226}","(0.0, 1000.0, -0.0, 1000.0)",49.0,13,horizontal,"(426.5, 1250.5)","(1, 0)",420,1226.0,0.0
DRAPER,100,"[(435, 1117), (435, 1189), (421, 1189), (421, 1117)]","{'Width': 14, 'Height': 72, 'Left': 421, 'Top': 1117}","(1000.0, 0.0, 1000.0, -0.0)",14.0,72,vertical,"(428.0, 1153.0)","(1, 0)",421,1117.0,1.0
STAMPED,100,"[(451, 55), (454, 176), (426, 177), (423, 56)]","{'Width': 31, 'Height': 122, 'Left': 423, 'Top': 55}","(-40.333, 0.036, -40.333, 0.036)",28.01785145,121.0371844,vertical,"(438.5, 116.0)","(1, 0)",423,55.0,1.0
LENDA,100,"[(436, 0), (436, 29), (427, 29), (427, 0)]","{'Width': 9, 'Height': 29, 'Left': 427, 'Top': 0}","(1000.0, 0.0, 1000.0, -0.0)",9.0,29,vertical,"(431.5, 14.5)","(1, 0)",427,0.0,1.0
STAMPED,100,"[(493, 58), (495, 178), (466, 179), (464, 59)]","{'Width': 31, 'Height': 121, 'Left': 464, 'Top': 58}","(-60.0, 0.034, -60.0, 0.034)",29.01723626,120.0166655,vertical,"(479.5, 118.5)","(1, 0)",464,58.0,1.0
YOU,100,"[(511, 836), (510, 917), (470, 916), (471, 835)]","{'Width': 41, 'Height': 82, 'Left': 470, 'Top': 835}","(81.0, -0.025, 81.0, -0.025)",40.01249805,81.0061726,vertical,"(490.5, 876.0)","(1, 0)",470,835.0,1.0
betray,100,"[(512, 715), (510, 835), (471, 834), (473, 714)]","{'Width': 41, 'Height': 121, 'Left': 471, 'Top': 714}","(60.0, -0.026, 60.0, -0.026)",39.01281841,120.0166655,vertical,"(491.5, 774.5)","(1, 0)",471,714.0,1.0
MUST,100,"[(514, 608), (513, 712), (473, 711), (474, 607)]","{'Width': 41, 'Height': 105, 'Left': 473, 'Top': 607}","(104.0, -0.025, 104.0, -0.025)",40.01249805,104.0048076,vertical,"(493.5, 659.5)","(1, 0)",473,607.0,1.0
DRAPER,100,"[(498, 1119), (498, 1191), (483, 1191), (483, 1119)]","{'Width': 15, 'Height': 72, 'Left': 483, 'Top': 1119}","(1000.0, 0.0, 1000.0, -0.0)",15.0,72,vertical,"(490.5, 1155.0)","(1, 0)",483,1119.0,1.0
STAMPED,100,"[(534, 60), (536, 180), (510, 180), (508, 60)]","{'Width': 28, 'Height': 120, 'Left': 508, 'Top': 60}","(-60.0, 0.0, -60.0, -0.0)",26.0,120.0166655,vertical,"(522.0, 120.0)","(1, 0)",508,60.0,1.0
SLATER,100,"[(532, 1196), (578, 1198), (577, 1215), (531, 1213)]","{'Width': 47, 'Height': 19, 'Left': 531, 'Top': 1196}","(-0.043, 17.0, -0.043, 17.0)",17.02938637,46.04345773,horizontal,"(554.5, 1205.5)","(1, 0)",531,1196.0,1.0
57,100,"[(571, 1282), (571, 1348), (533, 1348), (533, 1282)]","{'Width': 38, 'Height': 66, 'Left': 533, 'Top': 1282}","(1000.0, 0.0, 1000.0, -0.0)",38.0,66,vertical,"(552.0, 1315.0)","(1, 0)",533,1282.0,1.0
BUS,100,"[(571, 1358), (571, 1447), (533, 1447), (533, 1358)]","{'Width': 38, 'Height': 89, 'Left': 533, 'Top': 1358}","(1000.0, 0.0, 1000.0, -0.0)",38.0,89,vertical,"(552.0, 1402.5)","(1, 0)",533,1358.0,1.0
YOU,100,"[(586, 839), (583, 919), (540, 917), (543, 837)]","{'Width': 46, 'Height': 82, 'Left': 540, 'Top': 837}","(26.667, -0.047, 26.667, -0.047)",43.0464865,80.05623024,vertical,"(563.0, 878.0)","(1, 0)",540,837.0,1.0
THE,100,"[(554, 1229), (555, 1276), (541, 1276), (540, 1229)]","{'Width': 15, 'Height': 47, 'Left': 540, 'Top': 1229}","(-47.0, 0.0, -47.0, -0.0)",14.0,47.01063709,vertical,"(547.5, 1252.5)","(1, 0)",540,1229.0,1.0
betray,100,"[(591, 719), (586, 836), (542, 834), (547, 717)]","{'Width': 49, 'Height': 119, 'Left': 542, 'Top': 717}","(23.4, -0.045, 23.4, -0.045)",44.04543109,117.1067889,vertical,"(566.5, 776.5)","(1, 0)",542,717.0,1.0
MUST,100,"[(595, 611), (591, 716), (548, 714), (552, 609)]","{'Width': 47, 'Height': 107, 'Left': 548, 'Top': 609}","(26.25, -0.047, 26.25, -0.047)",43.0464865,105.0761629,vertical,"(571.5, 662.5)","(1, 0)",548,609.0,1.0
STAMPED,100,"[(577, 62), (579, 180), (552, 180), (550, 62)]","{'Width': 29, 'Height': 118, 'Left': 550, 'Top': 62}","(-59.0, 0.0, -59.0, -0.0)",27.0,118.0169479,vertical,"(564.5, 121.0)","(1, 0)",550,62.0,1.0
I,100,"[(596, 581), (595, 606), (552, 604), (553, 579)]","{'Width': 44, 'Height': 27, 'Left': 552, 'Top': 579}","(25.0, -0.047, 25.0, -0.047)",43.0464865,25.01999201,vertical,"(574.0, 592.5)","(1, 0)",552,579.0,1.0
RUTA,100,"[(559, 509), (594, 510), (594, 521), (559, 520)]","{'Width': 35, 'Height': 12, 'Left': 559, 'Top': 509}","(-0.029, 1000.0, -0.029, 1000.0)",11.0,35.0142828,horizontal,"(576.5, 515.0)","(1, 0)",559,509.0,1.0
STAMPED,100,"[(633, 0), (636, 176), (593, 177), (590, 0)]","{'Width': 46, 'Height': 177, 'Left': 590, 'Top': 0}","(-58.667, 0.023, -59.0, -0.0)",43.00581317,176.5254941,vertical,"(613.0, 88.25)","(1, 0)",590,0.0,1.0
SLATER,100,"[(593, 1198), (641, 1200), (640, 1217), (592, 1215)]","{'Width': 49, 'Height': 19, 'Left': 592, 'Top': 1198}","(-0.042, 17.0, -0.042, 17.0)",17.02938637,48.0416486,horizontal,"(616.5, 1207.5)","(1, 0)",592,1198.0,1.0
57BUS,100,"[(638, 1282), (636, 1451), (595, 1451), (597, 1282)]","{'Width': 43, 'Height': 169, 'Left': 595, 'Top': 1282}","(84.5, 0.0, 84.5, -0.0)",41.0,169.0118339,vertical,"(616.5, 1366.5)","(1, 0)",595,1282.0,1.0
YOU,100,"[(646, 841), (643, 923), (603, 921), (606, 839)]","{'Width': 43, 'Height': 84, 'Left': 603, 'Top': 839}","(27.333, -0.05, 27.333, -0.05)",40.04996879,82.0548597,vertical,"(624.5, 881.0)","(1, 0)",603,839.0,1.0
THE,100,"[(618, 1232), (619, 1278), (604, 1278), (603, 1232)]","{'Width': 16, 'Height': 46, 'Left': 603, 'Top': 1232}","(-46.0, 0.0, -46.0, -0.0)",15.0,46.01086828,vertical,"(611.0, 1255.0)","(1, 0)",603,1232.0,1.0
betray,100,"[(652, 721), (647, 842), (606, 840), (611, 719)]","{'Width': 46, 'Height': 123, 'Left': 606, 'Top': 719}","(24.2, -0.049, 24.2, -0.049)",41.0487515,121.1032617,vertical,"(629.0, 780.5)","(1, 0)",606,719.0,1.0
MUST,100,"[(655, 614), (651, 718), (611, 716), (615, 612)]","{'Width': 44, 'Height': 106, 'Left': 611, 'Top': 612}","(26.0, -0.05, 26.0, -0.05)",40.04996879,104.0768947,vertical,"(633.0, 665.0)","(1, 0)",611,612.0,1.0
SLATER,100,"[(658, 1201), (704, 1203), (703, 1220), (657, 1218)]","{'Width': 47, 'Height': 19, 'Left': 657, 'Top': 1201}","(-0.043, 17.0, -0.043, 17.0)",17.02938637,46.04345773,horizontal,"(680.5, 1210.5)","(1, 0)",657,1201.0,1.0
STAMPED,100,"[(701, 0), (701, 178), (658, 178), (658, 0)]","{'Width': 43, 'Height': 178, 'Left': 658, 'Top': 0}","(1000.0, 0.0, 1000.0, -0.0)",43.0,178,vertical,"(679.5, 89.0)","(1, 0)",658,0.0,1.0
THE,100,"[(698, 1231), (698, 1284), (660, 1284), (660, 1231)]","{'Width': 38, 'Height': 53, 'Left': 660, 'Top': 1231}","(1000.0, 0.0, 1000.0, -0.0)",38.0,53,vertical,"(679.0, 1257.5)","(1, 0)",660,1231.0,1.0
57,100,"[(698, 1287), (698, 1353), (660, 1353), (660, 1287)]","{'Width': 38, 'Height': 66, 'Left': 660, 'Top': 1287}","(1000.0, 0.0, 1000.0, -0.0)",38.0,66,vertical,"(679.0, 1320.0)","(1, 0)",660,1287.0,1.0
BUS,100,"[(699, 1360), (700, 1452), (661, 1452), (660, 1360)]","{'Width': 40, 'Height': 92, 'Left': 660, 'Top': 1360}","(-92.0, 0.0, -92.0, -0.0)",39.0,92.00543462,vertical,"(680.0, 1406.0)","(1, 0)",660,1360.0,1.0
YOU,100,"[(715, 842), (712, 924), (670, 922), (673, 840)]","{'Width': 45, 'Height': 84, 'Left': 670, 'Top': 840}","(27.333, -0.048, 27.333, -0.048)",42.04759208,82.0548597,vertical,"(692.5, 882.0)","(1, 0)",670,840.0,1.0
betray,100,"[(720, 723), (715, 839), (674, 837), (679, 721)]","{'Width': 46, 'Height': 118, 'Left': 674, 'Top': 721}","(23.2, -0.049, 23.2, -0.049)",41.0487515,116.1077086,vertical,"(697.0, 780.0)","(1, 0)",674,721.0,1.0
BACISM,100,"[(687, 182), (687, 215), (677, 215), (677, 182)]","{'Width': 10, 'Height': 33, 'Left': 677, 'Top': 182}","(1000.0, 0.0, 1000.0, -0.0)",10.0,33,vertical,"(682.0, 198.5)","(1, 0)",677,182.0,1.0
AW,100,"[(686, 219), (686, 233), (677, 233), (677, 219)]","{'Width': 9, 'Height': 14, 'Left': 677, 'Top': 219}","(1000.0, 0.0, 1000.0, -0.0)",9.0,14,vertical,"(681.5, 226.0)","(1, 0)",677,219.0,1.0
MUST,100,"[(724, 616), (719, 722), (679, 720), (683, 614)]","{'Width': 45, 'Height': 108, 'Left': 679, 'Top': 614}","(21.2, -0.05, 26.5, -0.049)",40.54936015,106.0966519,vertical,"(701.25, 668.0)","(1, 0)",679,614.0,1.0
RUTA,100,"[(690, 514), (723, 515), (723, 527), (690, 526)]","{'Width': 33, 'Height': 13, 'Left': 690, 'Top': 514}","(-0.03, 1000.0, -0.03, 1000.0)",12.0,33.01514804,horizontal,"(706.5, 520.5)","(1, 0)",690,514.0,1.0
THE,100,"[(753, 1233), (754, 1289), (717, 1290), (716, 1234)]","{'Width': 38, 'Height': 57, 'Left': 716, 'Top': 1233}","(-56.0, 0.027, -56.0, 0.027)",37.01351105,56.00892786,vertical,"(735.0, 1261.5)","(1, 0)",716,1233.0,1.0
57,100,"[(754, 1287), (755, 1357), (718, 1358), (717, 1288)]","{'Width': 38, 'Height': 71, 'Left': 717, 'Top': 1287}","(-70.0, 0.027, -70.0, 0.027)",37.01351105,70.00714249,vertical,"(736.0, 1322.5)","(1, 0)",717,1287.0,1.0
STAMPED,100,"[(761, 5), (760, 184), (718, 184), (719, 5)]","{'Width': 43, 'Height': 179, 'Left': 718, 'Top': 5}","(179.0, 0.0, 179.0, -0.0)",42.0,179.0027933,vertical,"(739.5, 94.5)","(1, 0)",718,5.0,1.0
BUS,100,"[(755, 1360), (757, 1453), (720, 1454), (718, 1361)]","{'Width': 39, 'Height': 94, 'Left': 718, 'Top': 1360}","(-46.5, 0.027, -46.5, 0.027)",37.01351105,93.02150289,vertical,"(737.5, 1407.0)","(1, 0)",718,1360.0,1.0
LATER,100,"[(721, 1203), (760, 1204), (759, 1221), (720, 1220)]","{'Width': 40, 'Height': 18, 'Left': 720, 'Top': 1203}","(-0.026, 17.0, -0.026, 17.0)",17.02938637,39.01281841,horizontal,"(740.0, 1212.0)","(1, 0)",720,1203.0,1.0
0,100,"[(761, 344), (761, 358), (731, 358), (731, 344)]","{'Width': 30, 'Height': 14, 'Left': 731, 'Top': 344}","(1000.0, 0.0, 1000.0, -0.0)",30.0,14,vertical,"(746.0, 351.0)","(1, 0)",731,344.0,1.0
YOU,100,"[(782, 844), (778, 927), (740, 925), (744, 842)]","{'Width': 42, 'Height': 85, 'Left': 740, 'Top': 842}","(20.75, -0.053, 20.75, -0.053)",38.05259518,83.09632964,vertical,"(761.0, 884.5)","(1, 0)",740,842.0,1.0
